Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Power Density (dB FS/Hz)	song	element
85	Spectrogram 1	1	213.834598009	213.857699368	3824.400	6184.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-22.15	5	a
86	Spectrogram 1	1	213.850591257	213.960766967	1912.200	4123.200	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.53	5	b
87	Spectrogram 1	1	213.957212912	214.003415628	1613.400	2450.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.27	5	c
88	Spectrogram 1	1	214.078050786	214.104706200	3824.400	6125.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.15	5	a
89	Spectrogram 1	1	214.101152145	214.207773799	2001.800	4093.300	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.12	5	b
90	Spectrogram 1	1	214.202442716	214.248645433	1643.300	2509.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.59	5	c
91	Spectrogram 1	1	214.330388701	214.357044114	3854.300	6184.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.88	5	a
92	Spectrogram 1	1	214.348158977	214.454780631	1703.000	4212.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-22.13	5	b
93	Spectrogram 1	1	214.449449548	214.497429292	1643.300	2479.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-22.24	5	c
94	Spectrogram 1	1	214.572064450	214.604050946	3764.600	6125.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-21.28	5	a
95	Spectrogram 1	1	214.595165808	214.703564490	1822.600	4212.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.63	5	b
96	Spectrogram 1	1	214.700010435	214.746213152	1643.300	2420.100	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.25	5	c
97	Spectrogram 1	1	214.829733447	214.851057778	3824.400	6244.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.25	5	a
98	Spectrogram 1	1	214.847503723	214.959456460	1882.300	4242.700	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-22.44	5	b
99	Spectrogram 1	1	214.959456460	215.010990259	1583.500	2509.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.13	5	c
